"MAKE";"TYP";"MODEL";"BTNAME";"BTADDRESS";"SERVICEREQ";"WORKDONE";"MEMO";"P1";"P10";"P11";"P12";"P13";"P14";"P15";"P2";"P3";"P4";"P5";"P6";"P7";"P8";"P9";"PD1";"PD10";"PD11";"PD12";"PD13";"PD14";"PD15";"PD2";"PD3";"PD4";"PD5";"PD6";"PD7";"PD8";"PD9"
"GE";"washer";"GFW850SPN4RS";"squaretrade";"052090954138";"THERE IS A GRINDING NOISE AND IT IS   NOT COMPLETEING THE CYCLE 

";;"10/28/25 No parts installed. Intermittent comm. between main and inverter. Warr. notified via Email geo";"WH03X29524";;;;;;;"WH03X29516";;"WH22X37840";"WH22X38837";;;;;"#MOTOR";;;;;;;"#DAMPER";;"Main";"Inverter";;;;
"Panasonic";"Microwave";"NE-21523";;;"SPARKING, DARK GREASE ON SHIELD, AND ON TOP OF CAVITY.";"Unit came in arcing from top antenna, bottom mag weak. Refurbished top antenna, cleaned top waveguide, filter, bottom antenna, interlock and cavity under tray. Replaced bottom mag, installed antenna shield, secured connections, OP OK. Unit Done.";"10/22/2025, Shop Note:
Unit came to shop for arcing and dark greasse and alluminum shavings on antenna shield. Problem duplicated in the shop.
 
-Top antenns shorted, shoots sparks.
-Top waveguide contaminated.
-Antenna shield excessively darkened, needs replacing.
-Bottom mag weak, heats up only around 5-Top and bottom mags, physically OK.
-Bottom mag heated up OK.
-Interlock OK
-Refurbish top antenna

10/22/2025, Repair Summary:
Unit came in arcing from top antenna, bottom mag weak. Cleaned top waveguide, refurbished top antenna, cleaned bottom antenna and cavity, replaced bottom mag, installed antenna shield, cleaned filter, interlock, secured connections, OP OK. Unit Done.

";"2M261-M1J3YF";;;;;;;"AH2011-3280S";;;;;;;;"Mag 2M261-M1 112E";;;;;;;"Ant Shield 35E";;;;;;;
"Samsung";"tv";"UN28H4000AFXZA ES01";;;"BROKEN SCREEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Insignia";"tv";"E40E21NKCTBGNNX";;;"BROKEN SCREEN";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"Washer";"GFW550SSN5WW";"SQUARETRADE";"021417854130";"THERE IS A TEAR IN THE RUBBER GASKET AROUND THE DOOR.

";"10/28/25 Replaced parts. op ok";"10/28 , Cx has a water pressure issue there is flow but not enough pressure, need to call city.
Cx washed a cycle after Gary left, unit still not working H2O/ POY4 error code coming ( not enought water and lid switch or unbalance load). 

10/28/25 Replaced parts. op ok geo";"WH05X29663";;;;;;;"WH05X29521";;"WH03X29516";"WH05X29521";;;;;"#GASKET CLAMP";;;;;;;"#GASKET";;"Damper";"GASKET";;;;
"Frigidaire";"Fz";"FPFU19F8WFB";"Electrolux Warranty";"1004895014-10";" I THINK THE ICE MAKER WAS SPRAYING WATER DOWN THE BACK OF THE FREEZER. I HAD FROZEN WATER IN THE BOTTOM AND DOWN THE BACK WALL. SEE PHOTOS";;"Check and record cavity temps.
Check water pressure And inlet hoses. 10/29/25 TB";"243297610";;;;;;;;;;;;;;;"IM 7461";;;;;;;;;;;;;;
"GE";"dishwasher";"GPT225SGL2WW";"squaretrade";"036231954133";"DRAINING WATER FROM DOOR, AND THE TIME IS ALSO NOT WORKING.

";"DIAGNOSTIC NEED PARTS WARRANTY NOTIFED";"Diagnostic 
Cx declined 10/31 sc offer, NE. 

11/06/25 Portable unit. Leaking from bottom door seal and dispenser, also, chime doesn't work and display flickers. Warr. notified via Email geo";"10/27/25";;;;;;;"WD21X32839";"WD27X32800";;;;;;;;;;;;;;"UI Control ASM";"Inner Door ASM";;;;;;
"GE";"Dryer";"GFD55ESSN3WW";"GE Warranty";"075597933";"IT'S EXTREMELY NOISY LIKE THE MOTOR IS LOOSE.";;;"WE03X10016";;;;;;;"WE03X30657";"WE03X29704";"WE01X10376";;;;;;"Roller 1752";;;;;;;"Idler 1489";"Belt 1088";"Mot Clamp 0459";;;;;
"Whirlpool";"range gas";"WEG750H0HZ0";"squaretrade";"045431954133";" 69617  PRE TK  FLAMES GO UP ON THE SIDE OF OVEN.

";"10/28/25 Replaced parts. op ok";"10/28/25 Replaced parts. op ok geo";"W11087486";;;;;;;;;;;;;;;"SPUD-ORFCE";;;;;;;;;;;;;;
"FRIGIDAIRE";"refrigerator";"FFTR1835VW";"Electrolux Warranty";"1004895830-10";"NOT COOLING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Vizio";"tv";"D40F-G9";;;"HAS PICTURE BUT THE SOUND IS INTERMITTENT. ISSUE WAS WITH CABLE USE.";"Tested and had continuous audio on several over-the-air channels. No problem found. Suspect cable box or cable from tv to cable box.";"Shop note: 10/28 TV tested ok, has sound and picture, on the test rack. NE. 

10/29 unit picked up by customer. dk";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FRIGIDAIRE";"range";"GCFG3060BFD";"Electrolux Warranty";"1004896142-10";"DOOR LATCH IS FAULTY/ DOOR NOT CLOSING PROPERLYOVEN DOOR WILL NOT REGISTER AS CLOSED, EVEN WHEN IT IS CLOSED";;"allow 2 hours. May need to remove gas manifolds and/or trace wires. 10/24/25TB ";"5304535289";;;;;;;"5304525430";"318394802";;;;;;;"Control 13533";;;;;;;"PCB 7749";"Switch 2272";;;;;;
"Sharp";"cd/cass/am/fm";"CD-BH950";;;"TRAY DOES NOT OPEN, SHE SAYS SHE WAS PLAYING CD WHEN IT STOPPED OPENING";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"LG";"dryer";"DLEX7900WE";"Assurant/Lowes";;"WATER DOES NOT SEEM TO BE COMING THROUGH OUR DISHWASHER. I CLEANED THE FILTER AND MADE SURE THE DETERGENT DISPENSER IS WORKING";;"<<date>> wrong unit on work order  having them opening new work order for the dishwasher not the dryer customer called canceled GS  ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Lg";"refrigerator";"LFXS26596S/02";"NEW/Assurion";;"ICE IS FREEZING IN CLUMPS AND IS NOT FORMING IN TO COMPLETE CUBES IN THE FREEZER.ICE MAKER NOT WORKING PROPERLY. ICE STICKING TOGETHER, CLUMPING ICE
";"Changed part. op ok";"10/22 Turn unit on and go Diag. TB

Changed part. Ice cubes sticking in tray. 11/05/25 TB";"AEQ72909602";;;;;;;;;;;;;;;"IM 9917";;;;;;;;;;;;;;
"GE";"dishwasher";"PDP715SYV1FS";"squaretrade";"005281954134";"WHEN DISHWASHER STARTS TO FILL, IT BEGINS TO LEAK FROM THE UNDERNEATH.

";"Unit not level. Leveled unit and reseated hose. op ok";"Had been leaking since floor redone. Floor people cut part of floor out under unit and left unit legs extremely uneven. Releveled unit. Tightned inlet hose. No parts needed. Return part sot ST. 10/27/25TB";"WD24X10062";;;;;;;"WD19X25461";;;;;;;;"# DRAIN HOSE";;;;;;;"#PUMP";;;;;;;
"Samsung";"washer";"WF45B6300AC/US 01";"Samsung Warranty";"4182881333";" 5E/5C/ND - WATER DRAIN ERROR
";"11/06/25 Replaced parts. op ok";"10/22/25 DIAGNOSTIC    NEED SCHEDULE NEED FRIDAY  aroung noon or later  Diagnostic $75.00 trip $64.00  plus tax 10.08  $149.08 customer ok  FRIDAY THE 31ST <<initials>> 

10/27/25 Error code 5C. Drain pump seized. LVM with estimate with --6460. Waiting for customer response. geo

10/30/2025, Customer returned the call with the help of a translator and approved the repair for $232.47.

11/06/25 Replaced parts. op ok. Also, notified customer about spin basket bearings going out. Customer states that ""they're good for now"". Customer paid $232.47 w/cc. geo
";"DC97-20621C";;;;;;;;;;;;;;;"Drain pump8837";;;;;;;;;;;;;;
"AMANA";"dishwasher";"ADB1400AGW3";"RELY";"306792673";"IT'S NOT POWERING UP
";;"11/1Cxsaid was a plumbing issue not DW, and got fixed, Cxld NE. 
<<date>> Arrive at the home and collect the $65.00 Service Call Fee.<<initials>> 

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KitchenAid";"RANGE";"KFEG500ESS6";"RELY";;"THE RIGHT FRONT BURNER STOP WORKING. AND WHEN ON OTHER BURNERS  ON THE LOW SETTING IT GET HOT TO BOWL WATER AND BURNS THE FOOD";;"diag ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"Microwave";;"RELY";;" DISPLAY NOT WORKING PROPERLY. UNIT WORKING FINE OTHER THAN THAT";;"<<date>> Arrive at the home and collect the $75.00 Service Call Fee.<<initials>>

";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FRIGIDAIRE";"dishwasher";"LFID2426TF2A";"Rely home";;" DISHWASHER WILL NOT START A CYCLE. WHEN CYCLES DO RUN IT WILL NOT DRAIN AND DISHES ARE NOT COMING CLEAN";;"10/22 Arrive at the home and collect the $85.00 Service Call Fee. <<initials>>

11/04/25 Stuck key on UI, Control not responding, Float switch relative open. Customer paid $85.00 w/CC. geo";"A11147301";;;;;;;"5304518467";"154773201";;;;;;;"Main9630";;;;;;;"SwitchASM4997";"FloatSwitch2851";;;;;;
"LG";"RANGE";"LSEL6335F/00";"Assurant/Lowes";"25001072891DF";"OVEN GLASS BROKE BAKING IS NOT WORKING PROPERLY THE TOP RANG IS NOT WORKING AS WELL HEATS UP AND DIES OUT";;"Go to Diag. Picture document physical damsage. Check the oven thermos and record numeric impedence. 10/23/25TB

Top range is not working properly turns off and on the baking in the oven does not work burns things right away the oven glass door broke while it was self cleaning it burst of the glass front

10/30/25 Inside of oven door shattered during self-clean per customer. Called warr. and sent pic. One connector on broil element shorted due to loose/broken wire. Repaired. ALL cooktop elements operating as intended. geo";"AGM75509806";;;;;;;"EBG51439305";;;;;;;;"Door ASM21499";;;;;;;"Thermostat885";;;;;;;
"GE";"refrigerator";"GTS18HGNRWW";"GE Warranty";"SA-552577";"RUNS A LONG TIME AND LOUD NOISE MOTOR NOISE

";"10/31/25 Customer education";"Diagnose. R600a
MUST document temps and frost patterns. 10/24/25TB

10/31/25 Frz=9 after opened for about 15 secs. Refrigerator = 37. Frost pattern good, compressor normal, not hot. Adjustable damper in the tower came off, blocking Refrigerator vent. Reattached. op ok If issue persists, then have reassigned for sealed system. geo";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"dishwasher";"GDP630PMR7ES";"GE Warranty";"075601310";"DETERGENT DOOR DOES NOT OPEN AND IT DOES NOT DRY
";;"Change ALL parts unless it can be proven they are within spec.
must have impedences and/or voltages. 10/24/25TB";"WD21X32938";;;;;;;"WD05X30298";"WD21X32680";"WD19X25700";"WD22X33499";"WD12X28239";;;;"Main 7700";;;;;;;"Element 2249";"AC Harn 1761";"Pump 8186";"Spray arm 1017";"Deterg Mod 2117";;;
"Samsung";"washer";"WA50R5400AV/US 02";"Assurant/Lowes";"25001074264DF";"IT JUST KEEPS REPEATING THE RINSE AND SPIN CYCLE; AFTER SPINNING IT WILL AUTOMATICALLY START RINSING AGAIN IF YOU DON'T INTERRUPT IT";"11/06/25 Replaced parts. op ok";"CHANGE THE DAMPERS. 10/23/25TB

10/23 Authorization Request has been created. 721.10 dk

11/06/25 Dampers weak. Replaced parts. op ok geo";"DC92-03567L";;;;;;;"DC97-19289H";"DC97-16350U";;;;;;;"#Main 186.25";;;;;;;"#Drain pump 73.08";"Dampers 49.39";;;;;;
"Samsung";"refrigerator";"RF28JBEDBSG/AA 6";"Assurant Extended";"49032824";"ICE MAKER FREEZING UP AND NOT MAKING ICE.";;"10/23 Authorization Request has been created. 897.44 dk";"DA82-02675A";;;;;;;"DA97-12540G";"DA97-14474C";"DA97-13829C";;;;;;"IM Kit 172.50";;;;;;;"Auger Assy 188.98";"Tray 141.86";"Route 118.26";;;;;
"FRIGIDAIRE";"freezer";"PRDF1922AF2";"Electrolux Warranty";"1004916194-10";"THE ISSUE IS THAT FROST IS FORMING AND GROWING INSIDE THE FREEZER.
THERE IS SEVERE FROST FORMING INSIDE THE FREEZER

";;"11/3 rejected RE
Go to Diag. Looks like possible door issue. 10/24/25 TB

10/30 Mr. ""I am recording you"" dk

10/30 This is a rude customer; we are not providing service to them AE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"freezer";"FCM22DLCWW";"GE Warranty";"075601861";"NO COOL

";;"diagnostic 
10/24 received a cancellation from GE ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"Range, Elec";"NE63A6751SS/AA 04";"Samsung Warranty";"4182906603";"ITS THE BIG ONE, THE MAIN ONE  IS IT THE RIGHT FRONT


";"Changed parts. op ok";"Gail says it is the right front. 10/24/25TB

Its just one burner didnt work for two days but before that when its low still working really hot even tho its in low mode

Changed parts. Switch had burn marks on it. 11/07/25 TB";"DG47-00065A";;;;;;;"DG44-01007C";"DG44-01009B";;;;;;;"#Element 21024";;;;;;;"Switch 9605";"#Switch 7682";;;;;;
"GE";"washer";"GTW485ASW0WB";"GE Warranty";"075602786";"OILY SUBSTANCE UNDER THE WASHER. AMBER COLOR. HAVENT USED THE UNIT SINCE THEN.";;"Go to Diag.  Suspect gear oil or is not from washer. 10/24/25TB

10/30/25 Gearcase leaking oil. geo";"WH03X34937";;;;;;;"WH43X34257";"WH43X31240";"WH02X10363";"WH02X24374";"WH01X27538";"WH03X32097";;;"Gearcase15120";;;;;;;"AgiBase3314";"Auger2889";"Nut736";"Screw450";"Belt751";"Pulley1508";;
"Samsung";"wall oven";"NQ70M7770DG/AA 00";"selfpay";;"THE DISPLAY STAYS ON AND KNOW LIGHTS ALSO. DISPLAY SCREEN STAYS ON LAST INSTRUCTIONS AFTER COOKING. YOU HAVE TO TAP HARD MULTIPLE TIMES TO SET TIME OR";"Control not recoginze button push/touch. Sometimes areas self activate on touch screen. Cust paid deposit $149.08 via CC.  Part is NLA/Discontinued.  11/05/25TB";"Diagnostic $75.00 trip $64.00  plus tax 10.08  $149.08

Control not recoginze button push/touch. Sometimes areas self activate on touch screen. Cust paid deposit $149.08 via CC.  Part is NLA/Discontinued.  11/05/25TB";"DE94-04050A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Bosch";"wall oven";"HBLP651LUC/08";"squaretrade";"064713954135";"PREV TK 69544 OVEN IS NOT HEATING

";"10/30/25 Replaced parts. op ok";"10/30/25 Replaced parts. op ok ";"11020737";;;;;;;"00631343";;"12043288";;;;;;"#CONTROL";;;;;;;"#LIMITER";;"DISPLAY";;;;;
"LG";"refrigerator";"LFXS26973S/10";"squaretrade";"017220954136";"THE BOTTOM ICE MAKER MAKES ICE BUT IT FREEZES TOGETHER AND IT MAKES ONE BIG CLUMP

";"10/30/25 Replaced parts. op ok";"10/30/25 IM not twisting all of the ice out. Replaced parts. op ok geo";"AEQ72909603";;;;;;;"MJX41869202";"AJU72992601";"MJX61892901";;;;;;"ICE MAKER";;;;;;;"#VALVE";"#VALVE";"#VALVE";;;;;
"FRIGIDAIRE";"dishwasher";"FFCD2413UW7B";"Electrolux Warranty";"1004922741-10";"PREV  TKS 69255  69656  THIS IS THE 3RD TIME GOING OUTDISHWASHER IS NOT CLEANING AND DRYING PROPERLY

";"duplicated dispatch 1004852737-10 (69656)";"Send GEO. MUST call Elux.
Note. This is a plastic tub. IF this is ONLY a dry issue, then plastic tubs will not dry particularly well due to the inability to sustain heat. 10/24/25TB

duplicated dispatch 1004852737-10 (69656)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"SHARP";"mircowave";"SMD2499FSA";"NSA";;"CONTROL PANEL NOT RESPONDING / START BUTTON NOT RESPONDING";"Changed parts. op ok";"nsa is sending the parts 


Changed parts. Aligned interlocks. 11/03/25 TB";"DPWBFB308MRU3";;;;;;;"DPWB-B696DRKZ2";;;;;;;;"DRAWER DISPLAY	";;;;;;;"#PSU Unit - Upd";;;;;;;
"GE";"dishwasher";"CDT858P2V1S1";"GE Warranty";"075604653";"THE BOTTOM BURNER CONTACTED THE SPINNING PIECE AND MELTED ITBOTTOM ROTATING WATER SPRAYER WAS MELTED SEE PHOTOS ATTACHED";;;"WD22X33502";;;;;;;"WD12X34158";;;;;;;;"Spray arm 1115";;;;;;;"Arm Adapt 0404";;;;;;;
"LG";"refrigerator";"LRMDS3006S/01";"squaretrade";"087883954132";"CE MAKER KEEPS GETTING STUCK AND SOUNDS LIKE IT IS BREAKING THE ICE BOX. VERY LOUD AS IN THE ENTIRE HOUSE CAN HEAR THE KNOCKING UNTIL IT STOPS AFTER ABOUT 15-20 KNOCKS";"10/31/25 Replaced parts. op ok";"10/31/25 Craft IM gears stripped. Replaced parts. op ok geo";"AEQ73449909";;;;;;;"AJU75632502";;;;;;;;"ICE MAKER";;;;;;;"VALVE";;;;;;;
"GE";"dishwasher";"GDT670SYV1FS";"GE Warranty";"075605054";":DOOR LEAKING BOTH SIDE RIGHT AND LEFT AND THE SPIN ARM FELL OFF THE BOTTON";;"Likely leaks due to spin arm not being attached. 10/24/25TB";"WD22X33499";;;;;;;"WD12X25864";"WD08X22095";;;;;;;"Spray arm 1017";;;;;;;"Adapter 0459";"Gasket 0922";;;;;;
"GE";"dishwasher";"PDP755SYR4FS";"squaretrade";"056903954131";"WATER LEAKING

";"need more parts";"11/03/25 No parts installed. Leaking from wash motor. Warr. notified via Email geo";"WD19X25461";;;;;;;"WD24X10062";;"WD19X25700";;;;;;"DRAIN PUMP";;;;;;;"DRAIN TUBE";;"Wash Pump Kit";;;;;
"Whirlpool";"washer";"WFW6605MW";"squaretrade";"061152854132";;;"402 506 3886 Arturo
11/3/25 received a cancellation from square trade 
The scheduled repair has been cancelled and no repair attempt is required for this Servicepower dispatch. We will follow up with the customer directly.";"W11688995";;;;;;;"W11314648";"W11314649";"W11266654";"W11688994";;;;;"valve e";;;;;;;"bellow e";"clamp m";"clamp m";"valve r";;;;
"Whirlpool";"Dryer";"WED6605MW0";"squaretrade";"027810754138";"DOES NOT HEAT UP";"Changed parts. op ok";"402 506 3886 Arturo

Changed parts. 11/04/25TB";"WP3387747";;;;;;;"280148";;;;;;;;"element e";;;;;;;"CUTOFF -TML E";;;;;;;
"FRIGIDAIRE";"range";"FCRE3062ASB";"Electrolux Warranty";"1004937490-11";"TEMP WONT STAY ON GIVEN AMOUNT. ""TAKES 4 HOURS TO MAKE ROLLS"".";"Changed parts. Tested ok.";"If two units dol exact same thing, then this is likely external issue or potentially cord. 10/27/25TB

 PREVIOUS UNIT BOUGHT OUT. SAME ISSUE WITH NEW RANGE.
CHECK WENDY'S MESSAGES IF MORE INFO NEEDED. ELECTRICIAN TOOK MULTIPLE PHOTOS SHOWING VOLTAGE @120 AND 240. PICTURES SHOW LOCATION ACTIVELY TESTED.

Per customer, the unit will heat, then drop temp while baking. This is the second unit. the first unit had main, bake elem, therm sensor replaced. then the unit was replaced.  This unit does same.
244Vac at T block
23.3ohms and 242 Vac on bake element.
Broil element 19.9ohms
Unit heats to 350F in 11 minutes
Could not duplicate issue.
Changed parts.
It is unlikely this occured 3 -4 times, especially after the parts changed. Suggested she monitor and IF it occurs again, WHILE it is occuring, boil water on cook top and TIME the boil rate.  IF boil is long/affected, it unlikely the range. The only commonality between oven and cook top is the frame and terminal block(and any wiring previous) 11/07/25 TB

";"5304536671";;;;;;;"5304526310";"140156196176";;;;;;;"Main 6460";;;;;;;"Temp sensor 2059,";"#Bake 2933";;;;;;
"LG";"range gas";"LREL6325F/00";"SQUARETRADE";"052185954135";"

";;"Cx declined 11/3 sc offer, NE. 11/7 lvm txt no ans, NE. ";"EBF62174907";;;;;;;"EBF64395301";"MEE64286201";;"AGU76970501";;;;;"SWITCH";;;;;;;"SWITCH";"HEATER";;"Plate Assembly";;;;
"GE";"range";"JB735SP1SS";"squaretrade";"076244954133";;"No burner/element was sent/onsite. Need burner sent. Emailed ST. 11/07/25TB";"Installed switches. No burner/element was sent/onsite. Need burner sent. Emailed ST. 11/07/25TB";"WB24X25013";;;;;;;"WB24T10029";"WB30X24111";;;;;;;"infite sw e";;;;;;;"burner cont e";"# element 9"" e";;;;;;
"FRIGIDAIRE";"refrigerator";"LGHB2869TF9";"New/Asurion";"25001081052DF";"""SY EF"" SYSTEM EVAPORATOR FAULT ERROR CODE. FRIDGE COMPARTMENT WILL NOT COOL BELOW 50 F. FREEZER IS NOT COOLING ""ICE MELTY, ICE CREAM SOFT""";;"Diag. Likely sealed system. TB ONLY. 10/27/25TB
Cx declined 11/5 sc offer NE. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"dryer";"DVE54R7600C/A3  00";"Assurant/Lowes";"25001081402DF";" OUT OF BALANCE";"REPAIR IS NOT COST EFFECTIVE  DIAG ONLY APPROVED";"10/27 Authorization Request has been created.
938.26 dk";"DC96-00882F";;;;;;;"DC97-16782E";"DC97-23529A";"or DC97-14849A";;;;;;"Idler 8853";;;;;;;"Roller 6919";"Drum 28163";;;;;;
"Samsung";"Washer";"WA547600AC/US 01";"Assurant/Lowes";"25001081433DF";"WASHER WON'T SPIN-OFF BALANCE";;;"DC97-16350V";;;;;;;"DC97-19289H";;;;;;;;"Damper 5541";;;;;;;"Dr Pump 7308";;;;;;;
"GE";"dishwasher";"PDT755SBV1TS";"squaretrade";"017334954138";"DOES NOT DRAIN NOR DOES IT FINISH A CYCLE.
";"Changed part. Cleared drain obstruction. op ok";"10/29 has to have someone at the property. thought that he had an appointment this morning. dk

10/29/2025, Customer Received Part. K

Changed part. Cleared drain obstruction. 11/03/25 TB";"WD19X25461";;;;;;;;;;;;;;;"#DRAIN PUMP";;;;;;;;;;;;;;
"MAYTAG";"washer";"MVW6500MBK0";"Assurant Extended";"25001084131DF";"THE WASHER WONT SENSE TO START. LIGHTS TURN ON BUT NO FUNCTION";;;"W11633362";;;;;;;"W11700916";"W11457841";"W11399437";;;;;;"Main 13548 +C60";;;;;;;"Latch 3152";"Strike 0809";"Drain pump 10498";;;;;
"GE";"Washer";"PFW950SPT1DS";"squaretrade";"099855954132";"THIS WASHER IS STAINING";"Diagnostic need parts warranty notifed";"Diagnostic 

Residue is rubbing off drawer, basket and drum parts onto clothes. Customer has run multipl cleaning cycles with cleaner. Needs drawer, drums, gaskets. 
This will require two technicians for two hours. 
Part email sent to ST. 10/29/25TB";"10/28/25";;;;;;;"WH21X30360";"WH41X30363";"WH21X34129";"WH05X29620";"WH05X29514";"WH42X29542";;;;;;;;;;"Front Tub";"Rear Tub";"Spn Bsk Assy";"Seal";"Gasket";"Drawer Assy";;
"FRIGIDAIRE";"range";"GCFI3060BFC";"Electrolux Warranty";"1004950162-10";"SAME ISSUE PREVIOUS TICKET 69019 INDUCTION STILL NOT WORKING";;"Go to diag. All induction parts have been changed on prior repair.  The Coils/elements have not been changed, but all four element ""cannot"" be defectivfe in the same way at the same time. Call elux on site.  10/27/25 TB

11/06 glass top is backorder  and no eta dk sund-none enc-none

model serial confirmed per previous ticket
TB USB

Another servicer has been here since ticket 69019
Cook top power button self activates. The touch pads already changed. The left element inverter chirps when on. 
Called Elux. Get glass, left inv. and front two elements. 
Allow 3 hours to change parts then to have 30-60 minutes to test. 11/05/25TB";"5304528693";;;;;;;"5304533955";"357226373";"387761255";;;;;;"Glass 15675";;;;;;;"Inverter(lt)1367";"Lt Element 3655";"Rt Element 4207";;;;;
"GE";"DRYER";"PTD70EBPT0DG";"squaretrade";"042055954136";"IT MAKES A SQUEAKING NOISE WHEN IT FIRST STARTS UP SOMETIMES IT STOPS SOMETIMES IT IS THE WHOLE CYCLE

";"NEED MORE PARTS WARRANTY NOTIFED";"10/31/25 No parts installed. bottom duct worn as well as top bearing missing felt. Warr. notified via Email geo";"WE1M300";;;;;;;"WE03X23875";"WE03X33648";"WE03X38319";"WE3M33";;"WE16X33649";;;"bearing plate e";;;;;;;"bearing top e";"drive belt e";"idler lt et rt e";"shaft/bracket e";;"Duct Trap";;
"GE";"DRYER";"GFD65ESPV0DS";"GE Warranty";"075608544";"THE DRYER KEEPS CHANGING CYCLE SETTINGS IN THE MIDDLE OF A CYCLE OR JUST SHUTS OFF BEFORE THE CYCLE IS COMPLETE.  I HAVE TO RESTART MULTIPLE TIMES TO GET THINGS DRY.";;"Check airflow and check the ducting BEFORE moiving the dryer.
IF cannot prove any other condition, change BOTH parts.  10/27/25 TB

""We have checked the vent..... we get good airflow outside.""";"WE22X39117";;;;;;;"WE22X37339";;;;;;;;"Main 11516";;;;;;;"UI 10759";;;;;;;
"GE";"DISHWASHER";"GDT670SGV1BB";"GE Warranty";"SA-591078";"MIDDLE RACK IS STUCK. NOT MOVING WHERE YOU PUT THE GLASSES. LEFT SIDE OF UNIT STUCK. GETS STUCK IN THE MIDDLE OF PULLING OUT.";"11/06/25 Replaced parts. op ok";"11/4/2025, Customer called for status check, was advised that she will be contaced by our scheduler soon. K

11/06/25 Part not installed. Mid rack was not fully extended from factory. Extended rails. op ok geo";"WD28X35785";;;;;;;;;;;;;;;"#Mid rack 9143";;;;;;;;;;;;;;
"Bose";"cd3";"MULTI-CD";;;"BOTTOM ONE DOESN'T WORK.";;"osantowski";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"FRIGIDAIRE";"w/d combo";"FLCE7522AW4";"Electrolux Warranty";"1004956163-10";"PROPERTY MANAGER CALLING ON BEHALF OF THE CX - WASHER & DRYER - DRYER STILL GETTING THE SAME ISSUE STOPS DURING A CYCLE - SERVICE NEEDED";"Changed part. op ok";"Must be servicably accessible. 10/27/25 TB

10/28/2025, Customer called for update. Her last name is wrong on this ticket. It is supposed to be Christiansen, not Schumacher! K

Changed part. Ran unit 15 minutes continuously before lea ing. 11/05/25 TB


";"5304535307";;;;;;;"CRM";;;;;;;;"Main 12792";;;;;;;"11/7/25";;;;;;;
"LG";"refrigerator";"LFXS26596S /04";"Assurant Extended";"25001088106DF";"THE FRIDGE AND FREEZER HAVE STOPPED COOLING";"Unit not cooling with running compressor. Assurant said bill out for diag/trip.;";"R600a. Go to diag. 10/29/25TB

10/27 texe cx

Unit not cooling. No frost pattern. Compressor runs. Called assurant. They said bill out for trip/diag.  11/05/25TB";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"range";"GGS600AV2FS";"GE warranty";"075609535";"BURNER OPERATION ISSUES:BURNER WILL NOT IGNITE PER CUST. FRONT LEFT";;"10/27 texed cx ";"WB16X24722";;;;;;;"WB18X47164";"WB18X47343";;;;;;;"Burner 2702";;;;;;;"Sw Harn 2250";"Ignit LF 0565";;;;;;
"LG";"refrigerator";"LFX25974ST";"Assurant Extended";"49048649";"FREEZER ISN'T KEEPING THINGS FROZEN AND FRIDGE IS NOT COOLING NOT MAKING ICE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Samsung";"refrigerator";"RF28R6301SR/AA 53";"Assurant/Lowes";"25001088844DF";"PREVIOUS CLAIM 69407  ICE MAKER NOT WORKING";;"Go to Rediagnose. Confirm SW version 12 or higher. 10/28/25 TB ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"GE";"refrigerator";"GNE27JMMXFES";"GE Warranty";"075609881";"SAFETY CONCERN (EXAMPLE FIRE OR SMOKE ETC):FROST BUILT UP IN FREEZER, 4TH TIME SERVICED";;"Go to diag. Record temps. Call TAG 10/28/25 TB

11/03/25 Frost buildup around frz door and some items in rear of Refrigerator intermittently. geo";"WR14X25128";;;;;;;"WR72X24815";"WR14X30142";;;;;;;"Duct5080";;;;;;;"Slide15103";"FrzGasket4003";;;;;;
"FRIGIDAIRE";"refrigerator";"FRSS2623AW";"squaretrade";"091493954130";"CX STATED THAT THE REFRIGERATOR ICE MAKER IS NOT WORKING.";"Changed parts. op ok";"customer rec parts 

IM was stuck upside down. Changed parts. 11/07/25TB";"5304535023";;;;;;;"140137975102";;;;;;;;"ice maker e";;;;;;;"solenoid e";;;;;;;
